中文名,标准缩写,去掉空格的缩写,全名,全名，把逗号换成了空格,专长类群,工作单位,姓,名
？王彬,B. Wang,B.Wang,"Wang, Bin",Wang Bin,S,,Wang,Bin
【空】,A. Benn.,A.Benn.,"Bennett, Arthur",Bennett Arthur,S,,Bennett,Arthur
【空】,A. Berger,A.Berger,"Berger, Alwin",Berger Alwin,S,,Berger,Alwin
【空】,A. Br.,A.Br.,"Brown, Addison",Brown Addison,S,,Brown,Addison
【空】,A. Braun,A.Braun,"Braun, Alexander Karl (Carl) Heinrich",Braun Alexander Karl (Carl) Heinrich,ABFMPS,,Braun,Alexander Karl (Carl) Heinrich
【空】,A. Camus,A.Camus,"Camus, Aimée, Antoninette",Camus Aimée Antoninette,S,,Camus,"Aimée, Antoninette"
【空】,A. Chev.,A.Chev.,"Chevalier, Auguste Jean Baptiste",Chevalier Auguste Jean Baptiste,BPS,,Chevalier,Auguste Jean Baptiste
【空】,A. Cunn.,A.Cunn.,"Cunningham, Allan",Cunningham Allan,APS,,Cunningham,Allan
【空】,A. Das,A.Das,"Das, Anjali",Das Anjali,PS,,Das,Anjali
【空】,A. DC.,A.DC.,"de Candolle, Alphonse Louris Pierre Pyramus",de Candolle Alphonse Louris Pierre Pyramus,S,,de Candolle,Alphonse Louris Pierre Pyramus
【空】,A. Dietr.,A.Dietr.,"Dietrich, Albert Gouttfried",Dietrich Albert Gouttfried,MS,,Dietrich,Albert Gouttfried
【空】,A. Froehner,A.Froehner,"Froehner, Albrecht",Froehner Albrecht,S,,Froehner,Albrecht
【空】,A. Gibson,A.Gibson,"Gibson, Alexander",Gibson Alexander,S,,Gibson,Alexander
【空】,A. Hay,A.Hay,"Hay, A.",Hay A.,S,,Hay,A.
【空】,A. Heller,A.Heller,"Heller, Amos Arthur",Heller Amos Arthur,PS,,Heller,Amos Arthur
【空】,A. Henry,A.Henry,"Henry, Augustine",Henry Augustine,S,,Henry,Augustine
【空】,A. Juss.,A.Juss.,"Jussieu, Adrien Henri Laurent de",Jussieu Adrien Henri Laurent de,S,,Jussieu,Adrien Henri Laurent de
【空】,A. Kern.,A.Kern.,"Kerner, Anton Joseph",Kerner Anton Joseph,BPS,,Kerner,Anton Joseph
【空】,A. Murray bis,A.Murraybis,"Murray, Andew",Murray Andew,S,,Murray,Andew
【空】,A. Nelson,A.Nelson,"Nelson, Aven",Nelson Aven,MPS,,Nelson,Aven
【空】,A. R. Brach,A.R.Brach,,,,,,
【空】,A. Spire,A.Spire,"Spire, André",Spire André,S,,Spire,André
【空】,A. St.-Hil.,A.St.-Hil.,"Saint-Hilaire, Auguste Francois César Prouvencal de",Saint-Hilaire Auguste Francois César Prouvencal de,MPS,,Saint-Hilaire,Auguste Francois César Prouvencal de
【空】,W. A. Weber,W.A.Weber,"Weber, William Alfred",Weber William Alfred,MS,,Weber,William Alfred
【空】,A. A. Eaton,A.A.Eaton,"Eaton, Alvah Augustus",Eaton Alvah Augustus,PS,,Eaton,Alvah Augustus
